word,voc_easy
balloon,<div>A balloon is a colorful bit of rubber that can be blown up or filled with helium. Many children's parties are decorated with balloons.</div>
ballot,"<div>A ballot is document that lists the choices during an election. When running for office, a candidate’s first goal is getting on the ballot.</div>"
ballpark,"<div>A ballpark is the area where baseball is played. When you go to the ballpark, you can sit in the stands, eat a hot dog, and cheer for your favorite team.</div>"
ballpoint,"<div>A ballpoint is a type of pen with a tiny metal ball at its very tip. When you write with a ballpoint, the ball rolls, spreading ink onto the paper.</div>"
ballroom,"<div>A ballroom is a room that has enough space for many people to dance. Traditionally, a ballroom has either a hardwood or marble floor.</div>"
balm,"<div>If your lips are cracked and dry, lip balm will make them feel better. A balm is a soothing substance with a consistency somewhere between solid and liquid.</div>"
balmy,"<div>Tourists who flock from Minnesota to Florida in the wintertime are hoping for balmy weather — that is, those frosty Midwesterners are trading mountains of snow and freezing winds for warm sun and gentle breezes.</div>"
baloney,"<div>Baloney is nonsense. When someone says something completely ridiculous, call it a bunch of baloney. If your friend tells you a unicorn on roller skates ate the last cookie, tell her she’s full of baloney!</div>"
baluster,<div>A baluster is a spindle or pillar in the railing of a stairway. Many balusters together make up a balustrade.</div>
Balzacian,<div>The literary adjective Balzacian is good for describing writing that's similar to the plays and novels of the French writer Honoré de Balzac.</div>
bam,"<div>A bam is a loud, startling sound. You might say that your brother tends to shove the front door open with a bam that makes you jump.</div>"
bamboo,"<div>Bamboo is a woody plant with a hollow stem that's in the grass family. When bamboo is harvested and processed, it can be used to make things like flooring, paper, and chopsticks.</div>"
bamboozle,"<div>To bamboozle is to hoodwink, lead by the nose, or pull the wool over someone's eyes — you're tricking or fooling them.</div>"
ban,<div>The verb to ban means to forbid something from being or happening. The word can also be used as a noun. A school board might put a ban on all books that refer to Jefferson's mistress if they don't want anyone reading about her.</div>
banal,"<div>If something is boring and unoriginal, it's banal. Banal things are dull as dishwater.</div>"
banality,"<div>A banality is a trite, boring, or overused remark. That includes clichés like ""life is short"" and your basic small talk about the weather.</div>"
banana,"<div>A banana is a curved, yellow fruit with a thick skin and soft sweet flesh. If you eat a banana every day for breakfast, your roommate might nickname you ""the monkey.""</div>"
band,"<div>A band is a narrow strip of fabric or some other material, like the head band a little girl wears in her hair. When a patient is admitted to a hospital, she gets a plastic wrist band with her name on it.</div>"
bandage,<div>A bandage is a piece of tape or cloth that's used to slow the flow of blood from a cut or another wound. Any good first aid kit is equipped with plenty of bandages.</div>
bandana,<div>A bandana is a colorful piece of cloth that can be tied around your head or at your neck. Most bandanas are squares folded into a triangle shape before they're tied.</div>
bandanna,"<div>A bandanna is a square piece of cloth that can be used as a handkerchief or tied around your neck. When kids dress up as cowboys for Halloween, they often wear a bandanna.</div>"
bandit,"<div>A bandit is a robber, thief, or outlaw. If you cover your face with a bandanna, jump on your horse, and rob the passengers on a train, you're a bandit.</div>"
bandstand,<div>A bandstand is a raised structure or platform that's built for a band to perform. Some public parks have a bandstand for outdoor concerts.</div>
bandwagon,"<div>A bandwagon is a trend that is so cool everyone wants to get in on it. If you start wearing a flowerpot on your head because everyone else is, you’ve jumped on a strange fashion bandwagon.</div>"
bandy,"<div>Bandy is a verb that means to toss many ideas around without focusing on just one. If you've ever brainstormed, you know what this is like — you bandy about different ideas until you find one that works.</div>"
bane,"<div>The noun bane refers to anything that is a cause of harm, ruin, or death. But we often use it for things that aren't that bad, just feel like it. You might say mosquitoes are the bane of your existence.</div>"
bang,"<div>A bang is a loud noise, like a door slamming or something heavy being dropped on a wood floor. Hearing a bang outside your house at night might make your dog start barking.</div>"
bangle,"<div>A bangle is an inflexible but loose-fitting bracelet, worn alone or with many other bangles, on your wrist. Bollywood dancers are often outfitted with many gold bangles.</div>"
banish,"<div>To banish is to get rid of. Think very carefully before you banish someone from your group. Someday, you may want that person around again.</div>"
banjo,<div>A banjo is a musical stringed instrument with a round body and a neck. Bluegrass bands almost always include at least one banjo.</div>
bank,"<div>Unless you hide it under your mattress, you probably keep your money in a bank, or a business that stores and invests money.</div>"
bankrupt,"<div>You might not have any money in your pocket, but it doesn’t necessarily mean you are bankrupt. It takes a legal proceeding for the courts to declare a person bankrupt — or officially unable to pay his debts.</div>"
bankruptcy,"<div>Bankruptcy is a state of being bankrupt, or having no money to pay back debts that you owe.</div>"
banned,"<div>When something is banned, it's illegal or not allowed. If you're wearing a banned t-shirt to school, it means there's a rule forbidding that particular kind of shirt.</div>"
banner,"<div>As you listen to your guests sing to you on your birthday, you may see a long banner, or sign, hanging from the ceiling and announcing in sparkly letters, ""Happy Birthday to You!""</div>"
banquet,"<div>It’s customary to celebrate Thanksgiving with a banquet, or elaborate feast — along with the requisite bickering between family members.</div>"
banter,"<div>Good friends usually banter back and forth easily, like they're trying to keep a step ahead of each other in witty responses. This type of banter is their special language of friendship.</div>"
bantering,"<div>Bantering is how you can describe clever chit-chat. If you are out to flirt or impress, using a bantering tone is always a good bet.</div>"
baptism,"<div>In the Christian church, baptism is a rite that symbolizes spiritual purification and rebirth. If you’ve had a baptism, it probably involved being dipped in water or having water sprinkled on you, lots of proud relatives, and hopefully cake afterwards.</div>"
baptize,<div>To baptize is the ritual of bringing someone into the religion of Christianity. It’s usually when little babies get their heads sprinkled with water in a church.</div>
bar,"<div>If you bar a college student from entering a bar because he's too young to drink, it means that you prevent him from going into an establishment that serves alcoholic beverages.</div>"
barb,"<div>Whether it is a spike on the wire atop a security fence or a mean remark someone said about you, a barb can hurt. When you encounter either kind of barb, you should stay away.</div>"
barbarian,<div>Barbarian is an insulting word for a person from an uncivilized culture or a person with no manners. Barbarians aren't known for their etiquette.</div>
barbaric,"<div>Things that are barbaric, are uncivilized and brutal. People have different opinions about hunting — for some, it's a way of life, and for others it's barbaric.</div>"
barbarous,"<div>To be barbarous is to be vicious and cruel or simply uncivilized. Wearing a leopard-pelt skirt and swatting at people with a wooden club is barbarous, and so is eating spaghetti with your hands.</div>"
barbecue,<div>A barbecue is an outdoor party where food is cooked on a grill or over a fire. Your family might host a barbecue every summer to celebrate the end of the school year.</div>
barbed,"<div>Something that's barbed is sharp or spiky. Barbed wire has very sharp points at intervals along its length, to keep animals or people in (or out of) a yard.</div>"
barbell,"<div>The long pole with weights on each end that a weightlifter or bodybuilder lifts at a gym is called a barbell. If you're new to lifting weights, your barbell may only hold a few pounds.</div>"
barber,<div>A barber is a person whose job is cutting hair in a barbershop. Your barber might have a tendency to cut your hair a little shorter than you like.</div>
barbershop,<div>A barbershop is one of the places where people go to get their hair cut. You might visit a barbershop at the beginning of every summer to get a short crew cut.</div>
bard,"<div>If you’ve heard the word bard, it was probably in English class. William Shakespeare has been known as ""The Bard"" since the nineteenth century, but the word has a much older history, and, when it's not capitalized, it simply means ""lyric poet.""</div>"
bare,"<div>When you kick off your shoes to walk on the beach, you are enjoying the feeling of your bare feet in the warm sand. The adjective bare describes something or someone that is naked or unclothed.</div>"
bare bone,"<div>Something that is bare bone has nothing but the essential, basic elements. A bare bone speech is short, simple, and direct.</div>"
bare bones,"<div>Anything bare bones has only the most basic elements or parts. The bare bones of a story is just the plot, or an outline without the details.</div>"
barefaced,"<div>If masked means hidden, barefaced means unconcealed. If you get caught speeding and reach into your wallet and hand the officer $20, that’s a barefaced attempt at a bribe.</div>"
barefoot,"<div>When you're barefoot, you're not wearing any shoes or socks. It might feel good to walk barefoot on a sandy beach on a warm day, but just don't try entering a restaurant barefoot.</div>"
barely,<div>Something barely there is hardly there at all. So a barely dressed person is nearly naked.</div>
bargain,<div>The table you bought at a yard sale for five dollars might seem like a bargain until you get it home and realize it only has three legs. A bargain is a good deal.</div>
barge,"<div>A barge is a big, flat boat that can transport heavy goods over water. You might see a barge carrying a load of new cars down a river.</div>"
baritone,"<div>A baritone is a singer with a deep, rich voice. The male star of an opera is usually a baritone.</div>"
bark,"<div>A bark is the loud, sharp sound a dog makes. Seals also bark, and people sometimes bark with laughter or bark out commands.</div>"
barker,"<div>A barker is a person whose job involves advertising a show or a circus, encouraging passing pedestrians to buy a ticket. A traveling carnival might employ a barker to describe its attractions.</div>"
barley,<div>Barley is a grain that's related to the grass family and is used in many foods and drinks. Barley is an important ingredient in making beer.</div>
barn,"<div>A barn is an outbuilding on a farm used to keep animals or crops safe and dry. A farmer might store hay in the upper part of a barn, and have stalls for horses in the main section.</div>"
barnacle,<div>A barnacle is a spineless animal that looks like a small circular white rock. You'll often find barnacles attached to the bottom of boats.</div>
barnyard,"<div>A barnyard is a fenced-in area on a farm, usually next to a barn, which sometimes contains goats, chickens, or other farm animals. You can also call a barnyard a ""farmyard.""</div>"
barometer,<div>A barometer is a device that measures atmospheric pressure. Barometers help meteorologists figure out what the weather is going to be like.</div>
baron,"<div>A baron is a nobleman — a member of the aristocracy. Barons are also important, powerful businessmen with huge influence over their industries. In Britain, a baron is called “Lord,” but in the States, we call them “rich.”</div>"
baroque,"<div>Something baroque is overly ornate, like a paisley red velvet jacket with tassels, or music that has a lot going on and might include a harpsichord.</div>"
barrack,"<div>A barrack is a building where military personnel live. It’s usually used in the plural, as barracks. It’s also a verb — when soldiers lodge in barracks, they barrack there. The word sounds like “bear-ick.”</div>"
barracuda,"<div>A barracuda is a big, long fish with very sharp teeth. If a scary-looking fanged fish swims in your direction when you're snorkeling in the tropics, you might want to paddle in the opposite direction as you yell, ""Barracuda!""</div>"
barrage,"<div>A barrage is something that comes quickly and heavily — as an attack of bullets or artillery, or a fast spray of words.</div>"
barred,"<div>Something that is barred prevents your entry. If you are trying to sneak into your friend's house, avoid the barred windows.</div>"
barrel,"<div>A barrel is a big container used to store liquids. If you're moving a barrel, it's best to tip it on its side because its shape bulges at the center, so that it's easy to roll.</div>"
barren,"<div>Drive through a forest that's just been destroyed by a fire, and you'll get an idea of what barren means — stripped of vegetation and devoid of life.</div>"
barrette,<div>A barrette is a clip or pin that holds a small amount of hair away from your face. You might be especially fond of you butterfly-shaped barrette.</div>
barricade,<div>A barricade is anything that prevents people or vehicles from getting through. Construction workers often barricade a street to block traffic.</div>
barrier,"<div>Barriers are walls, either physical or metaphorical. They can block movement — the Great Wall of China was a barrier to block invading forces from entering. A window shade is a light barrier. Failing English is a barrier to getting into Harvard.</div>"
barrio,"<div>In the US, a barrio is the neighborhood where most people speak Spanish. For example, in New York, Spanish Harlem is also called El Barrio. Outside the US, barrio refers to a district in Spain or a Spanish-speaking country.</div>"
barrister,"<div>The Brits and Canadians prefer to say barrister instead of ""lawyer,"" but they mean the same thing. A barrister is a person who goes to court on behalf of the defense or the prosecution.</div>"
bartender,"<div>A bartender is a person who mixes, pours, and serves drinks from behind a bar. The bartender at a bar mitzvah may spend hours putting little paper umbrellas in Shirley Temples for the young guests.</div>"
barter,"<div>If you make a deal with your brother to change the oil in his car in exchange for one of his video games, what you’ve just done is barter — or trade goods and services.</div>"
barterer,"<div>A barterer is a person who trades goods for other goods, instead of using money. You are a barterer if you trade your scooter for a skateboard.</div>"
basal,<div>Something that's basal forms the base or the bottom layer of an object. The basal leaves on a plant are connected to the lowest section of its stem.</div>
base,"<div>The base of something is usually the foundation, starting point, or main ingredient of something. A soup base is the flavoring or broth you use to get your soup started.</div>"
baseball,"<div>Baseball is a game in which a player hits a ball with a bat and runs around the field, stepping on three bases before returning to where he started. Most baseball games last seven innings.</div>"
baseboard,"<div>A baseboard is a piece of wood molding that runs along the bottom of a wall. Where the bottom of a baseboard ends, the floor begins.</div>"
baseless,"<div>If something's baseless, it can't be proven or justified. A baseless accusation of cheating, for example, has no facts or evidence to back it up.</div>"
baseline,"<div>A baseline is an imaginary starting point or basis of comparison for something. To test how a class's performance improves over time, a researcher might begin with a baseline showing their current scores and grades.</div>"
basement,"<div>A basement is a room that's below ground level, underneath the first floor. You might have a laundry room with a washer and dryer in your basement.</div>"
bash,<div>To bash is to hit something hard. You might stand up suddenly on a sailboat and bash your head on the mast.</div>
bashful,"<div>Bashful means shy or timid. You might feel bashful when meeting a famous actress, a high-ranking government official, or just someone whom you find really good-looking.</div>"
basic,"<div>What's basic is what's essential, at the root or base of things. If you've got a basic understanding of differential equations, you can handle simple problems but might get tripped up by more difficult ones.</div>"
basil,"<div>Basil is a strongly scented herb. Basil is commonly used on pizza, in spaghetti sauce, and in pesto.</div>"
basin,"<div>A basin is a container that holds water and is used for washing, but you probably just call it your bathroom sink.</div>"
basis,"<div>Basis is the underlying reason or assumption. The basis of a dictionary is that people are curious to learn the meanings of new words. You are interested, right?</div>"
bask,"<div>To bask in something is to take it in, receive its warmth, or bathe in its goodness. On the first warm day of the spring, you may bask in the sunshine. When you win the Pulitzer, you bask in your own glory.</div>"
basket,<div>A basket is a container made of woven straw or other material. You might keep your dirty clothes in a plastic laundry basket.</div>
basketball,<div>Basketball is a team sport in which players work together to bounce a ball down the length of a court and throw it through a hoop. Some college basketball games are hugely popular and very competitive.</div>
bas relief,<div>Bas relief is an artistic technique that involves lightly carving a design into a surface. Most coins have images stamped on them in bas relief.</div>
bass,"<div>A bass sound or instrument is the deepest. If a barbershop quartet sings “Happy Birthday” to you, the guy with the lowest voice is singing the bass part. A bass is also a type of saltwater fish.</div>"
bassinet,"<div>A bassinet is a small basket used as a bed for a baby. A bassinet is portable, making it easy to carry the baby around.</div>"
bassoon,"<div>A bassoon is a musical instrument with a low, rich tone. A bassoon is like a deep, bass version of an oboe.</div>"
bastard,"<div>Bastard used to be a not nice thing you called a child whose parents weren't married. But now it's a more general insult hurled toward a jerk or bad person. Bastard can also simply mean ""fraudulent.""</div>"
baste,"<div>When cooks baste food, they brush or drizzle a savory liquid on it as it's cooking. If you baste your Thanksgiving turkey while it bakes, it will stay moist and tender.</div>"
bastion,"<div>When the battle is getting long and the odds are getting longer, retreat to your bastion to regroup and prepare for the next round of fighting. A bastion is a stronghold or fortification that remains intact.</div>"
bat,"<div>A bat is used in the sports of baseball and cricket to hit a small, hard ball. In baseball, a bat can be made out of wood or aluminum.</div>"
batch,"<div>A batch is a completed group, collection, or quantity of something, especially something that's just been made. You might, for example, bake a batch of cookies to take to your new neighbor.</div>"
bate,"<div>To bate means to hold back or restrain, and you may see it in language that's either old or meant to sound old. A relative of bate appears in the phrase ""with bated breath,"" which describes what you do when you anxiously wait.</div>"
bath,<div>The action of soaking or washing yourself in water is a bath. You might take a bubble bath to relax before bed after a stressful day.</div>
bathe,"<div>When you bathe, you wash yourself. A cat bathes itself by licking its fur with a rough tongue. If you're human, don't try that technique.</div>"
bathetic,"<div>Bathetic describes something that's overly sentimental, gushy, and worse yet — insincere. Soap operas are known for their bathetic emotionalism, because the characters cry and wail and scheme over the silliest things.</div>"
bathos,"<div>If something starts out serious and then turns trivial, that’s bathos. If you’re watching a serious drama about Poland’s transition to capitalism and it suddenly ends in a giddy car chase, you might remark on the film’s unexpected bathos.</div>"
bathrobe,<div>A bathrobe is a loose-fitting robe you put on after a bath or shower. They’re like towels with sleeves and a belt. Fuzzy slippers and curlers are optional.</div>
bathtub,"<div>A bathtub is a bathroom fixture, a tub that you can fill with water for bathing. Some people like to soak in a bathtub at the end of a long day.</div>"
baton,"<div>A baton is the small stick or rod, like the one that an orchestra conductor uses to direct musicians. A conductor's baton is often made of lightweight wood.</div>"
battalion,<div>A battalion is a unit of an army. One battalion usually consists of three of more companies and a headquarters.</div>
batter,"<div>To batter is to beat repeatedly, as if one boxer were clobbering another with blows.</div>"
battery,<div>Battery is (among other things) physical attack or assault: “He was arrested for battery after he hit his manager several times on the head with a large flashlight.”</div>
batting,"<div>Batting is the soft, plush material on the inside of a blanket or quilt. When you make a quilt, you sew the front to the back with a layer of batting in between.</div>"
battle,"<div>A battle is an open struggle, usually between two groups — like a baseball championship game or a food fight.</div>"
battlefield,"<div>A place where fighting happens, especially during a war, can be called a battlefield. If you visit Gettysburg, Pennsylvania, you'll see a famous Civil War battlefield.</div>"
battleground,<div>A battleground is a piece of land on which a war or battle is fought. You can visit many of the battlegrounds of the US Civil War.</div>
battleship,"<div>A battleship is a very large, seagoing military vessel. A battleship is prepared for war, being protected by heavy armor and equipped with guns.</div>"
batty,"<div>If someone's batty, she's eccentric or a little bit wacky. You might love it when your batty great aunt visits because she makes life so interesting.</div>"
bauble,"<div>Baubles are trinkets or novelty items that cost little and aren’t very important or valuable, such as a plastic ring in the shape of a daisy that covers half of your finger in hot-pink plastic.</div>"
bawdy,"<div>Bawdy describes humor that is off-color: about sex, going to the bathroom, or other naughty, vulgar topics.</div>"
bawl,"<div>To bawl is to weep or wail loudly. If you tend to bawl at sad movies, you might want to bring some tissues for wiping your tears and blowing your nose.</div>"
bay,"<div>A bay is an inlet along the shoreline of a body of water. A bay window occupies a similar inlet in a room. When you keep someone ""at bay"" you hold them off.</div>"
bayonet,<div>A bayonet is a knife attached to the end of a rifle. This makes the rifle capable of even more violence than before.</div>
bayou,"<div>Imagine a large, sluggish, often stagnant body of water and you are probably thinking about a bayou, a marshy inlet or outlet of a lake or river. Perhaps the most famous bayou in the United States is found in Louisiana.</div>"
bazaar,"<div>A bazaar is a market that has rows and rows of little shops selling miscellaneous stuff — like tube socks, velvet paintings, and corn on the cob.</div>"
be,"<div>To be is to exist, or to take place. As Hamlet best put it: ""To be or not to be, that is the question.""</div>"
beach,"<div>You know that wide, flat patch of sand that leads down to the sea, or maybe even the lake? That's a beach, one of the most beautiful places in the world. During a long, stormy winter, a beach can erode and move.</div>"
beacon,"<div>If your nose is shining like a beacon, I hope you are a reindeer employed by a jolly fat man from the North Pole.</div>"
bead,<div>A bead is a small bauble or jewel with a hole through its middle for stringing on a necklace or bracelet. You can make your own jewelry by stringing colorful beads on a long cord.</div>
beadle,"<div>A beadle is a church leader. Often, a beadle serves as an usher or manages charities for the church.</div>"
beady,"<div>Something that's beady is small and shiny, resembling a round bead. Your dog might stare at you with beady eyes whenever you eat peanut butter.</div>"
beak,"<div>When you see a bird pecking around in your backyard, it’s using its beak to probe the ground for food. A beak is the hard, pointed structure sticking out from a bird’s face.</div>"
beam,<div>A beam is a long board that's used to hold up a roof or doorway. The beams in your kitchen ceiling help support the upstairs floor just above it.</div>
beaming,"<div>If an object is beaming, it's glowing with light, but if a person is beaming, they're more likely to be smiling brightly.</div>"
beamish,<div>Use the adjective beamish when you describe someone who is smiling and cheerful. A beamish child tends to laugh and play happily with his friends all afternoon.</div>
bean,"<div>A bean is a seed you can eat. You might love garbanzo beans but detest large, green lima beans.</div>"
beanbag,<div>A beanbag is a bag filled with dried beans that's used for recreation or relaxation. A big beanbag is large enough to sit on while you watch TV.</div>
beanie,"<div>A beanie is a small, round, brimless hat. It was fashionable for boys to wear beanies in the first half of the 20th century.</div>"
bear,"<div>To bear is to carry or endure, whether by physical or mental force. If you can bear to read on, you'll find out all the different ways to use the word bear.</div>"
bearable,"<div>Something that you can live through, disagreeable as it may be, is bearable. The world's most boring math class, while tedious, is bearable.</div>"
beard,"<div>A beard is the facial hair on a person's chin and cheeks. Santa Claus is famous in part for his long, white beard.</div>"
bearded,"<div>Someone who's bearded has a beard. If your grandfather is often mistaken for Santa Claus because of his bushy white beard, you can describe him as bearded.</div>"
bearer,"<div>A bearer is a person who carries or delivers something. If you hate to be the bearer of bad news, don't become a traffic cop.</div>"
bearing,"<div>When you walk into a room with your shoulders straight and your head up, people might say you have a noble bearing. Bearing is the way you hold your body, and it often means you hold it well.</div>"
bear in mind,"<div>To bear in mind is to be mindful of or consider something. When you bear in mind the fact that your friend is scared of heights, you won't suggest a ride on a huge Ferris wheel.</div>"
beast,"<div>A beast is an animal — and usually not a gentle or attractive one. You can also call a person a beast when they're behaving in a crude, savage, or horrible way.</div>"
beat,"<div>Beat can mean “hit repeatedly,” “stir vigorously,” or “defeat.” A beat can also be a rhythmic pulse, a physical blow, or a funky poet. In terms of number of definitions, it’s hard to beat this little word.</div>"
beatific,"<div>That blissful grin on your face? It could be described as beatific, meaning it projects a peaceful sense of joy.</div>"
beatification,<div>Beatification is making someone blissful or extremely happy. It's also an action by the Pope that honors a dead person for being holy.</div>
beatitude,"<div>If you're extraordinarily happy, you might describe what you're feeling as beatitude. The noun beatitude refers to a state of great joy. Being blessed, or at least feeling blessed, is often linked to beatitude.</div>"
beau,"<div>A beau is an old-fashioned term for ""boyfriend."" When your great-grandmother was young, she probably had a beau.</div>"
beautiful,"<div>The adjective beautiful describes a thing that is pleasing to the senses. Most men think women are beautiful, and most women think babies are beautiful, but if you think you're beautiful, you might be vain.</div>"
beauty,"<div>Ah, beauty. Anything that has it pleases the senses, like a delicious scent, a perfect piece of pie, or a gorgeous person walking by.</div>"
beaver,"<div>A beaver is a water- and land-dwelling animal with a very broad tail, short fur, and prominent front teeth. Beavers are famous for their ability to build dams across rivers and streams.</div>"
becalm,"<div>To becalm is to make something quiet, calm, or still. When there's no wind at all on a lake, you can say that the weather becalms your sailboat.</div>"
bechamel,"<div>Bechamel is a rich, pale-colored sauce made with milk. You can make lasagna with bechamel instead of the more traditional tomato sauce.</div>"
beckon,<div>To beckon is to use a physical gesture to call someone over to you. Universally recognized gestures used to beckon include crooking the finger or nodding the head to invite someone over.</div>
become,"<div>To become is to evolve, change into, or emerge as something. A fertilized egg will hatch and the tiny chick will become a full-grown chicken.</div>"
becoming,"<div>Something that's becoming is charming, or looks good. It's a compliment — or a sales tactic — if a salesperson gushes, ""That dress is so becoming on you!""</div>"
bed,<div>Your bed is the piece of furniture you sleep on at night. One of a babysitter's most important tasks is telling kids when it's time to get into their beds.</div>
bedazzle,"<div>To bedazzle is to charm or impress someone, sometimes to the extent that they feel confused or overwhelmed. A charismatic speaker might bedazzle her audience so much that they all want to buy her new book.</div>"
bedding,"<div>Use the word bedding when you're talking about sheets, pillowcases, blankets, or any other coverings for a bed. If you switch from a twin to a queen-sized bed, you'll need new bedding.</div>"
bedeck,"<div>To bedeck is to decorate or embellish. If you bedeck your house with streamers and balloons, you'll feel prepared for your brother's surprise party.</div>"
bedevil,"<div>To bedevil is to ""be"" a bit like a ""devil."" To bedevil means to cause trouble, or, when talking about a person, to torment or harass.</div>"
bedizen,<div>Bedizen means to decorate yourself or something else to the max — in an over-the-top flashy style. Picture big jewels and gold bling.</div>
bedlam,"<div>Bedlam is a scene of madness, chaos or great confusion. If you allow football fans onto the field after the big game, it will be pure bedlam.</div>"
bedraggle,"<div>Bedraggle is a verb that means to make disheveled, wet, and dirty. Rain and mud bedraggle children who go tromping through the outdoors in their dressiest clothes right before family pictures.</div>"
bedraggled,"<div>If you're bedraggled, you're dishevelled, limp, and tired. Many people are a bit bedraggled after a very long plane flight.</div>"
bedridden,<div>Someone who's bedridden is so sick or elderly that they can't get out of bed. Your friend might have such a bad case of the flu that she's bedridden for several days and can't go to work or school.</div>
bedrock,"<div>Bedrock is the hard layer of rock beneath looser rocks and soil. In some places, the bedrock is exposed, while in others it lies deep underground.</div>"
bedroom,"<div>A bedroom is a room in a house for the bed, so it’s mainly used for sleeping. If you live in a one-bedroom apartment, it has exactly one room for the bed. To sound old fashioned, call it your bedchamber.</div>"
bedtime,"<div>Bedtime is the time of the evening or night when you go to sleep. If you want a good excuse to leave a boring party, you can look at your watch and say, ""Wow! It's way past my bedtime!""</div>"
bee,"<div>A bee is a fuzzy, buzzing insect that flies and sometimes stings. Many flower gardens are especially planned to attract bees.</div>"
beef,"<div>Beef is meat from a cow. It's also a word for a complaint. If you have a beef with someone, you’re not sharing a steak, you have a gripe. Just don’t beef to a cow; her problems are worse.</div>"
beefy,"<div>Someone who's beefy has a big, dense, muscular body. Your beefy, loud-voiced gym teacher might turn out to be a sweet and thoughtful person.</div>"
beehive,<div>A beehive is a structure — either made by humans or bees — in which bees live and make honey. You might find a beehive in a hollow tree.</div>
beeline,"<div>A beeline is the swiftest, most direct route between two points. If you are shopping at the mall on a weekend afternoon and you see an empty parking space, you should make a beeline for it or risk circling the lot for hours.</div>"
beep,<div>A beep is a brief warning sound. You might give a quick beep on your car horn to let a bicyclist know you're passing her on the road.</div>
beer,"<div>Beer is an alcoholic drink usually made from barley and hops. A beer is a can or pint of the stuff. Too much beer can make people, often college students, wear lampshades as hats or dance like chickens. Cheers!</div>"
beeswax,<div>Beeswax is the substance that makes up the inside of a bee's hive. Honeycomb is made of beeswax filled with honey.</div>
beet,"<div>A beet is a reddish-purple colored root vegetable. You can roast beets, slice them, and add them to a salad.</div>"
beetle,"<div>A beetle is a dark, shiny, hard-shelled insect. Your garden-loving grandmother will be distressed when she discovers her prize roses are infested with hungry beetles.</div>"
beetling,<div>Something that's beetling sticks out over the top of something else. A beetling boulder behind your camp site projects out over it.</div>
befall,<div>Befall is an old-fashioned or literary way of saying something happened by chance. Bad luck befalls a heroine who drops her lucky rabbit foot.</div>
before,"<div>When one thing precedes another, it comes before. You put your socks on before your shoes, you close the door before you lock it, and you should make sure the store is open before you leave home.</div>"
befriend,"<div>There are many ways to make someone your friend. You can offer assistance with a project, or provide comfort at a time of loss. Perhaps the easiest way to befriend someone, however, is just to smile and say ""hi.""</div>"
befuddle,"<div>To befuddle is to confuse. A sticky exam question can befuddle you, or an awkward question about your whereabouts the night before (how can you remember? You were befuddled, after all.)</div>"
befuddled,"<div>When you're befuddled, you're bewildered, confused, lost, or mixed-up. In other words, you don't know what's going on.</div>"
beg,"<div>To beg is to ask for something in an earnest, pleading way. You might beg your roommates to be quiet if you're desperately trying to get some sleep.</div>"
beget,"<div>To beget means to generate something, usually children, and it can be used to refer to the role of either a mother or a father.</div>"
beggar,"<div>A beggar is a poor person who asks others, or begs, for money or food. Another word for a beggar is a ""panhandler,"" although both terms are vaguely offensive. No one wants to be a beggar.</div>"
begin,"<div>To begin is to start. When it begins to snow, every flake looks pretty, drifting gently down from the dark sky.</div>"
beginner,"<div>A beginner is someone who's brand new at something. In swimming lessons, a beginner practices putting her face in the water and blowing bubbles.</div>"
beginning,"<div>The beginning is the first part or section of something, or the place where it starts. You watch the opening credits at the beginning of a movie.</div>"
begotten,"<div>Something is begotten when it's been generated by procreation — in other words, it's been fathered.</div>"
begrudge,<div>To begrudge someone for something is to wish them ill for it or to envy them. Try not to begrudge his getting the promotion over you — he's been at the company longer.</div>
beguile,"<div>To beguile is to trick someone, either with deception or with irresistible charm and beauty. You could be beguiled by a super model or by a super con artist.</div>"
beguiled,"<div>Being beguiled is like being captivated, charmed, delighted, enthralled, or entranced. When you're beguiled, you really like what you see.</div>"
beguiling,"<div>Beguiling is an adjective that means ""highly attractive and tempting,"" like the beguiling model/actress on the cover of a celebrity magazine.</div>"
behalf,"<div>Behalf means speaking or acting for someone. A parent can sign forms on behalf of children when they are young, but adult children can sign on behalf of their aging parents.</div>"
behave,<div>The way you act or conduct yourself is how you behave. Teachers and parents often tell kids Behave!</div>
behavior,"<div>Behavior refers to how you conduct yourself. Generally, it’s wise to engage in good behavior, even if you're really bored.</div>"
behaviour,"<div>Your behaviour is the way you act in various situations. Note that this word ends with ""our,"" which is the British spelling, while the American English spelling is behavior. This discrepancy is common, and either spelling is correct.</div>"
behemoth,<div>You can call both a Tyrannosaurus Rex and a massive telecommunications company a behemoth. The word means something big and powerful.</div>
behest,"<div>Behest is an authoritative command or request. If your boss or principal asks to see you, you go to their office at their behest.</div>"
behind,"<div>When one thing is behind another, it's at the rear or the far side of it, possibly even hidden by it. Your shy dog might tend to stand behind you when you meet a friend on your walk.</div>"
behold,"<div>To behold is to see. You could behold the changing sky as the sun sets. It’s old-fashioned and fancy, so magicians like to use it, as in “Behold! I shall pull a rabbit out of my hat!”</div>"
beholden,"<div>The adjective beholden describes owing someone for something the person did to help you — it's your duty to repay the person. If your army buddy saves your life, you're beholden to help him when he gets injured.</div>"
beholder,"<div>A beholder is an observer: someone who gains awareness of things through the senses, especially sight. If beauty is in the eye of the beholder, then the person who is observing gets to decide what is beautiful.</div>"
behoove,"<div>To behoove someone to do something is to make it advisable or necessary to do so, for their own good or that of others.</div>"
